"mech","type","skew","amount","mean","sd","median","iqr"
"MAR","RIGHT","no",0.0353,-0.2062,-0.0267,-0.1953,-0.0519
"MAR","RIGHT","yes",0.1022,-0.0562,-0.3762,-0.0357,-0.0071
"MAR","RIGHT","diff",-0.067,0.15,-0.3495,0.1596,0.0447
"MAR","LEFT","no",0.0067,0.2111,-0.01,0.2158,-0.0241
"MAR","LEFT","yes",0.1244,0.0522,0.2482,0.0279,-0.0061
"MAR","LEFT","diff",-0.1177,-0.1589,0.2582,-0.1879,0.0179
"MAR","MID","no",0.0168,-0.0064,0.0369,-0.0138,0.0532
"MAR","MID","yes",0.1113,0.0181,0.2531,-0.0018,0.0134
"MAR","MID","diff",-0.0944,0.0245,0.2162,0.012,-0.0398
"MAR","TAIL","no",-0.0316,0.002,-0.0448,-0.0029,-0.063
"MAR","TAIL","yes",0.0804,-0.0181,-0.3325,-0.0018,-0.0106
"MAR","TAIL","diff",-0.1119,-0.0202,-0.2877,0.0011,0.0524
"MNAR","RIGHT","no",0.0198,-0.4152,-0.1046,-0.3963,-0.1529
"MNAR","RIGHT","yes",0.0904,-0.0463,-0.8049,-0.0171,-2e-04
"MNAR","RIGHT","diff",-0.0706,0.3689,-0.7003,0.3792,0.1528
"MNAR","LEFT","no",-0.0356,0.4043,-0.0878,0.3957,-0.1412
"MNAR","LEFT","yes",0.0988,0.0498,0.4227,0.013,-0.0045
"MNAR","LEFT","diff",-0.1344,-0.3546,0.5104,-0.3827,0.1366
"MNAR","MID","no",1e-04,-0.0075,0.16,-0.0365,0.3712
"MNAR","MID","yes",0.0865,0.0529,0.6663,-9e-04,0.0249
"MNAR","MID","diff",-0.0865,0.0604,0.5063,0.0355,-0.3464
"MNAR","TAIL","no",0.0341,-0.0095,-0.2019,-0.0013,-0.3084
"MNAR","TAIL","yes",0.1098,-0.0349,-0.8439,-4e-04,-0.0048
"MNAR","TAIL","diff",-0.0758,-0.0254,-0.642,9e-04,0.3035
"MCAR","MCAR","no",-0.0143,0.0146,-0.0041,0.0169,-0.0194
"MCAR","MCAR","yes",0.1215,0.0039,0.0539,-7e-04,-3e-04
"MCAR","MCAR","diff",-0.1358,-0.0107,0.058,-0.0175,0.0191
"MCAR","MCAR","no",0.0046,0.0091,-0.0171,-0.0064,-0.0272
"MCAR","MCAR","yes",0.0875,-0.0161,-0.3014,-0.0011,-6e-04
"MCAR","MCAR","diff",-0.0828,-0.0252,-0.2843,0.0053,0.0266
"MCAR","MCAR","no",0.049,-0.0035,-0.0092,-0.0054,-0.0146
"MCAR","MCAR","yes",0.1199,-0.0163,-0.2441,9e-04,0.0014
"MCAR","MCAR","diff",-0.071,-0.0129,-0.2349,0.0063,0.016
"MCAR","MCAR","no",-0.0015,-0.0115,0.0122,0.0063,0.0297
"MCAR","MCAR","yes",0.1084,0.0077,0.0516,0.0028,-0.0012
"MCAR","MCAR","diff",-0.1098,0.0192,0.0393,-0.0036,-0.0309
"MAR","RIGHT","no",-0.0043,-0.2086,-0.0136,-0.2187,-0.0291
"MAR","RIGHT","yes",0.1038,-0.0405,-0.1221,-0.0334,-0.0044
"MAR","RIGHT","diff",-0.1081,0.1681,-0.1085,0.1854,0.0247
"MAR","LEFT","no",-0.0342,0.2274,-0.0326,0.2299,-0.0351
"MAR","LEFT","yes",0.1073,0.0651,0.3575,0.0323,-0.0047
"MAR","LEFT","diff",-0.1415,-0.1624,0.39,-0.1976,0.0304
"MAR","MID","no",-0.044,-0.0036,0.0429,-0.0044,0.0512
"MAR","MID","yes",0.1058,0.0268,0.3082,0.0016,0.0115
"MAR","MID","diff",-0.1498,0.0304,0.2653,0.0061,-0.0398
"MAR","TAIL","no",-0.0222,0.0043,-0.0481,0.0025,-0.0648
"MAR","TAIL","yes",0.0871,1e-04,-0.0039,7e-04,-0.0106
"MAR","TAIL","diff",-0.1092,-0.0042,0.0442,-0.0018,0.0541
"MNAR","RIGHT","no",-0.0097,-0.4266,-0.1005,-0.4279,-0.1275
"MNAR","RIGHT","yes",0.1186,-0.0514,-0.854,-0.012,-9e-04
"MNAR","RIGHT","diff",-0.1283,0.3752,-0.7535,0.4159,0.1265
"MNAR","LEFT","no",-0.0103,0.4287,-0.093,0.4245,-0.1359
"MNAR","LEFT","yes",0.1221,0.0543,0.4199,0.0092,0.0012
"MNAR","LEFT","diff",-0.1325,-0.3745,0.513,-0.4153,0.1371
"MNAR","MID","no",-0.0372,-0.0093,0.164,-0.0063,0.3941
"MNAR","MID","yes",0.0893,0.055,0.6932,-0.0078,0.0132
"MNAR","MID","diff",-0.1264,0.0643,0.5292,-0.0015,-0.3809
"MNAR","TAIL","no",0.0123,-0.0102,-0.1909,-0.0025,-0.3129
"MNAR","TAIL","yes",0.0981,-0.0309,-0.8268,0.0037,-0.0082
"MNAR","TAIL","diff",-0.0858,-0.0207,-0.6359,0.0062,0.3048
"MCAR","MCAR","no",0.0203,0.0091,0.0137,0.0167,0.0087
"MCAR","MCAR","yes",0.1119,0.0145,0.2061,-0.0022,0.0019
"MCAR","MCAR","diff",-0.0916,0.0054,0.1924,-0.0189,-0.0068
"MCAR","MCAR","no",6e-04,0.0037,-0.0033,0.0129,-0.0049
"MCAR","MCAR","yes",0.1005,0.0078,0.0696,7e-04,-0.0026
"MCAR","MCAR","diff",-0.0998,0.0041,0.0729,-0.0122,0.0024
"MCAR","MCAR","no",0.0075,8e-04,0.0129,-0.0031,0.0132
"MCAR","MCAR","yes",0.1017,-0.0054,-0.0765,-8e-04,0.0024
"MCAR","MCAR","diff",-0.0942,-0.0062,-0.0894,0.0023,-0.0108
"MCAR","MCAR","no",-0.0026,0.0183,-0.002,0.02,-0.0154
"MCAR","MCAR","yes",0.0999,-0.0046,-0.0789,-0.0013,0.0038
"MCAR","MCAR","diff",-0.1025,-0.0229,-0.077,-0.0213,0.0192
"MAR","RIGHT","no",-0.0116,-0.2038,-0.0148,-0.202,-0.0215
"MAR","RIGHT","yes",0.0939,-0.0572,-0.3839,-0.0351,-0.0094
"MAR","RIGHT","diff",-0.1055,0.1465,-0.3691,0.1669,0.012
"MAR","LEFT","no",0.0068,0.2188,-0.0212,0.2358,-0.0179
"MAR","LEFT","yes",0.1015,0.068,0.4053,0.0344,-0.0034
"MAR","LEFT","diff",-0.0947,-0.1508,0.4265,-0.2014,0.0145
"MAR","MID","no",8e-04,-0.0064,0.0387,-0.0129,0.0755
"MAR","MID","yes",0.1088,0.0149,0.1881,0.0013,0.0158
"MAR","MID","diff",-0.108,0.0212,0.1494,0.0142,-0.0597
"MAR","TAIL","no",-0.0017,0.0056,-0.0394,0.0043,-0.0373
"MAR","TAIL","yes",0.1196,0.0037,0.0262,1e-04,-0.0108
"MAR","TAIL","diff",-0.1213,-0.002,0.0656,-0.0042,0.0265
"MNAR","RIGHT","no",-0.0087,-0.4125,-0.09,-0.4092,-0.17
"MNAR","RIGHT","yes",0.0849,-0.0464,-0.8067,-0.0204,-4e-04
"MNAR","RIGHT","diff",-0.0935,0.3661,-0.7168,0.3887,0.1695
"MNAR","LEFT","no",0.0018,0.4259,-0.0884,0.43,-0.1429
"MNAR","LEFT","yes",0.1049,0.0475,0.408,0.0105,-2e-04
"MNAR","LEFT","diff",-0.1031,-0.3784,0.4964,-0.4195,0.1426
"MNAR","MID","no",-0.0257,0.0038,0.1565,0.0088,0.319
"MNAR","MID","yes",0.1125,0.0723,0.7122,-0.0079,0.0144
"MNAR","MID","diff",-0.1382,0.0685,0.5557,-0.0167,-0.3046
"MNAR","TAIL","no",0.0261,-0.0056,-0.191,0.0022,-0.3073
"MNAR","TAIL","yes",0.1239,-0.0378,-0.8574,0.0017,-0.0047
"MNAR","TAIL","diff",-0.0978,-0.0322,-0.6664,-6e-04,0.3027
"MCAR","MCAR","no",0.0052,-0.028,0.0058,-0.0159,0.0079
"MCAR","MCAR","yes",0.0922,0.0086,0.1081,0.0011,-0.0014
"MCAR","MCAR","diff",-0.0871,0.0366,0.1023,0.017,-0.0093
"MCAR","MCAR","no",0.0041,-0.008,-0.0115,-0.0085,0.0104
"MCAR","MCAR","yes",0.1053,-0.0034,-0.0404,5e-04,0.0014
"MCAR","MCAR","diff",-0.1012,0.0046,-0.0289,0.009,-0.009
"MCAR","MCAR","no",-0.0156,0.0011,-0.0115,-0.0011,-0.0296
"MCAR","MCAR","yes",0.1101,0.0128,0.1619,7e-04,-0.0021
"MCAR","MCAR","diff",-0.1257,0.0117,0.1734,0.0019,0.0274
"MCAR","MCAR","no",-0.0298,0.0049,-0.0139,0.0168,-0.0015
"MCAR","MCAR","yes",0.0907,-0.0058,-0.0447,-0.0025,4e-04
"MCAR","MCAR","diff",-0.1205,-0.0107,-0.0307,-0.0192,0.0019
"MAR","RIGHT","no",-0.0122,-0.2061,-0.0313,-0.1802,-0.0479
"MAR","RIGHT","yes",0.1067,-0.0483,-0.2307,-0.0288,-0.0057
"MAR","RIGHT","diff",-0.1189,0.1579,-0.1994,0.1514,0.0421
"MAR","LEFT","no",-0.0143,0.2109,-0.0196,0.1971,-0.0037
"MAR","LEFT","yes",0.1215,0.0544,0.2723,0.0267,-2e-04
"MAR","LEFT","diff",-0.1357,-0.1564,0.2919,-0.1704,0.0035
"MAR","MID","no",-0.0109,-5e-04,0.0366,-0.0041,0.0757
"MAR","MID","yes",0.1185,0.0155,0.1778,-0.0012,0.0168
"MAR","MID","diff",-0.1294,0.016,0.1413,0.0028,-0.0589
"MAR","TAIL","no",-0.0032,-0.0168,-0.0404,-0.0015,-0.0447
"MAR","TAIL","yes",0.1195,-0.0336,-0.518,-0.0018,-0.0136
"MAR","TAIL","diff",-0.1227,-0.0168,-0.4776,-3e-04,0.0312
"MNAR","RIGHT","no",0.0265,-0.4117,-0.0861,-0.3952,-0.1461
"MNAR","RIGHT","yes",0.1165,-0.0485,-0.8524,-0.0108,0.0024
"MNAR","RIGHT","diff",-0.0901,0.3632,-0.7663,0.3844,0.1485
"MNAR","LEFT","no",-0.0306,0.4121,-0.0851,0.4107,-0.1465
"MNAR","LEFT","yes",0.0951,0.0477,0.4056,0.0147,-0.0045
"MNAR","LEFT","diff",-0.1257,-0.3643,0.4908,-0.396,0.142
"MNAR","MID","no",-0.011,0.0043,0.1695,0.0124,0.4047
"MNAR","MID","yes",0.1323,0.087,0.7096,-9e-04,0.0117
"MNAR","MID","diff",-0.1433,0.0827,0.5401,-0.0133,-0.393
"MNAR","TAIL","no",-0.0056,0.0019,-0.1881,0.0089,-0.2899
"MNAR","TAIL","yes",0.1037,-0.0334,-0.8383,0.0036,-0.0076
"MNAR","TAIL","diff",-0.1093,-0.0353,-0.6502,-0.0053,0.2823
"MCAR","MCAR","no",-0.0132,-0.0264,-0.0139,-0.0256,-0.0299
"MCAR","MCAR","yes",0.1025,-0.0214,-0.3172,-0.0014,0.0051
"MCAR","MCAR","diff",-0.1156,0.005,-0.3033,0.0241,0.035
"MCAR","MCAR","no",0.0088,0.0095,1e-04,-0.0012,9e-04
"MCAR","MCAR","yes",0.1213,0.0047,0.0707,-0.001,-0.0015
"MCAR","MCAR","diff",-0.1125,-0.0049,0.0706,2e-04,-0.0024
"MCAR","MCAR","no",-0.0636,0.0049,-0.0032,0.0025,-0.0093
"MCAR","MCAR","yes",0.0986,-0.0184,-0.3364,0.005,-1e-04
"MCAR","MCAR","diff",-0.1621,-0.0233,-0.3331,0.0025,0.0092
"MCAR","MCAR","no",0.0019,-0.0142,4e-04,-0.0237,-0.0174
"MCAR","MCAR","yes",0.105,0.01,0.1153,0.0032,-0.0011
"MCAR","MCAR","diff",-0.103,0.0242,0.1149,0.0268,0.0163
"MAR","RIGHT","no",0.001,-0.2082,-0.0205,-0.218,-0.022
"MAR","RIGHT","yes",0.1237,-0.043,-0.1737,-0.03,-0.0042
"MAR","RIGHT","diff",-0.1227,0.1652,-0.1533,0.1879,0.0178
"MAR","LEFT","no",-0.0078,0.2207,-0.0128,0.2371,-0.027
"MAR","LEFT","yes",0.0899,0.0521,0.1816,0.0397,-0.0107
"MAR","LEFT","diff",-0.0977,-0.1686,0.1945,-0.1974,0.0162
"MAR","MID","no",-0.007,-0.0093,0.0489,0.0065,0.0728
"MAR","MID","yes",0.0991,0.0071,0.057,0.0049,0.0094
"MAR","MID","diff",-0.1061,0.0164,0.0081,-0.0016,-0.0633
"MAR","TAIL","no",-0.023,0.0026,-0.049,-0.0042,-0.0685
"MAR","TAIL","yes",0.1371,-0.0145,-0.1763,-3e-04,-0.0046
"MAR","TAIL","diff",-0.1601,-0.0171,-0.1273,0.0039,0.0639
"MNAR","RIGHT","no",0.0055,-0.4177,-0.0872,-0.4015,-0.0948
"MNAR","RIGHT","yes",0.1055,-0.0479,-0.8353,-0.0169,0.004
"MNAR","RIGHT","diff",-0.1,0.3698,-0.7481,0.3846,0.0987
"MNAR","LEFT","no",-0.0367,0.4125,-0.0836,0.3969,-0.1503
"MNAR","LEFT","yes",0.0894,0.0521,0.4143,0.0174,-0.0078
"MNAR","LEFT","diff",-0.1261,-0.3603,0.4979,-0.3795,0.1424
"MNAR","MID","no",-0.0155,0.0156,0.1591,0.0289,0.3346
"MNAR","MID","yes",0.0885,0.0565,0.6764,-0.0011,0.0181
"MNAR","MID","diff",-0.104,0.0409,0.5172,-0.03,-0.3165
"MNAR","TAIL","no",-0.013,-0.0056,-0.2029,-0.0069,-0.3198
"MNAR","TAIL","yes",0.0982,-0.0314,-0.8321,0.0023,-0.002
"MNAR","TAIL","diff",-0.1112,-0.0258,-0.6292,0.0092,0.3178
"MCAR","MCAR","no",-0.0142,-0.006,0.0035,-0.0093,0.0033
"MCAR","MCAR","yes",0.0784,0.0062,0.1003,-0.0016,0.0012
"MCAR","MCAR","diff",-0.0926,0.0122,0.0968,0.0077,-0.0021
"MCAR","MCAR","no",0.0042,0.0049,-0.0065,-0.0096,-0.0124
"MCAR","MCAR","yes",0.0822,0.0055,0.1314,-0.0018,0.0025
"MCAR","MCAR","diff",-0.078,6e-04,0.1379,0.0079,0.0149
"MCAR","MCAR","no",-0.0207,0.0082,-9e-04,0.0146,-0.0042
"MCAR","MCAR","yes",0.1133,8e-04,-1e-04,-4e-04,0.0021
"MCAR","MCAR","diff",-0.134,-0.0074,8e-04,-0.015,0.0063
"MCAR","MCAR","no",-0.0254,0.0085,0.0195,0.0054,0.0378
"MCAR","MCAR","yes",0.1087,0.0067,0.0938,0,-0.0013
"MCAR","MCAR","diff",-0.1341,-0.0018,0.0742,-0.0054,-0.0391
"MAR","RIGHT","no",0.0124,-0.2128,-0.027,-0.2205,-0.0498
"MAR","RIGHT","yes",0.1025,-0.0678,-0.8351,-0.037,-0.0099
"MAR","RIGHT","diff",-0.0901,0.145,-0.8081,0.1834,0.0399
"MAR","LEFT","no",-0.0149,0.2146,-0.0212,0.2168,-0.0298
"MAR","LEFT","yes",0.1063,0.0581,0.3023,0.0321,-0.0083
"MAR","LEFT","diff",-0.1211,-0.1565,0.3235,-0.1848,0.0215
"MAR","MID","no",-0.0016,0.0038,0.0443,0.014,0.0705
"MAR","MID","yes",0.1044,0.0077,0.1143,0.0022,0.0119
"MAR","MID","diff",-0.106,0.0038,0.07,-0.0118,-0.0585
"MAR","TAIL","no",-0.0343,-0.0111,-0.0383,-0.0151,-0.0399
"MAR","TAIL","yes",0.0617,-0.0162,-0.3981,0.0014,-0.0084
"MAR","TAIL","diff",-0.096,-0.0051,-0.3597,0.0165,0.0315
"MNAR","RIGHT","no",6e-04,-0.4058,-0.0879,-0.4047,-0.1737
"MNAR","RIGHT","yes",0.1165,-0.0488,-0.852,-0.0105,-0.0013
"MNAR","RIGHT","diff",-0.1159,0.357,-0.7641,0.3942,0.1724
"MNAR","LEFT","no",0.0198,0.421,-0.0826,0.4197,-0.1205
"MNAR","LEFT","yes",0.1079,0.0512,0.4231,0.0114,0.002
"MNAR","LEFT","diff",-0.0881,-0.3698,0.5057,-0.4082,0.1225
"MNAR","MID","no",0.0243,0.0068,0.1693,0.0037,0.3942
"MNAR","MID","yes",0.1124,0.0664,0.6895,-0.0061,0.0053
"MNAR","MID","diff",-0.0881,0.0596,0.5202,-0.0098,-0.3889
"MNAR","TAIL","no",-0.0401,-0.0019,-0.1952,-0.0061,-0.2971
"MNAR","TAIL","yes",0.0786,-0.0263,-0.8073,0.0051,-0.0093
"MNAR","TAIL","diff",-0.1187,-0.0245,-0.6121,0.0112,0.2878
"MCAR","MCAR","no",0.0149,0.0205,0.0056,0.0138,0.0065
"MCAR","MCAR","yes",0.0986,6e-04,-0.0293,0.0039,0.001
"MCAR","MCAR","diff",-0.0837,-0.02,-0.0349,-0.0099,-0.0055
"MCAR","MCAR","no",-0.0426,0.0016,-0.0053,-0.0032,-0.0015
"MCAR","MCAR","yes",0.0781,0.004,0.0557,0.0015,0.0017
"MCAR","MCAR","diff",-0.1207,0.0024,0.061,0.0047,0.0033
"MCAR","MCAR","no",0.0355,-0.0028,-0.0031,0.0015,-0.0088
"MCAR","MCAR","yes",0.0889,-0.0154,-0.2839,-0.0028,-0.0045
"MCAR","MCAR","diff",-0.0533,-0.0125,-0.2808,-0.0043,0.0044
"MCAR","MCAR","no",-0.023,0.0018,-0.0027,0.0045,0.0077
"MCAR","MCAR","yes",0.109,-0.0054,-0.1051,0.0018,-0.0015
"MCAR","MCAR","diff",-0.132,-0.0072,-0.1025,-0.0028,-0.0092
"MAR","RIGHT","no",0.0093,-0.2027,-0.02,-0.2102,-0.0305
"MAR","RIGHT","yes",0.0884,-0.0597,-0.3286,-0.0443,-0.0121
"MAR","RIGHT","diff",-0.079,0.143,-0.3086,0.1659,0.0185
"MAR","LEFT","no",-0.0402,0.1995,-0.029,0.1918,-0.0357
"MAR","LEFT","yes",0.098,0.07,0.3976,0.0356,-0.0095
"MAR","LEFT","diff",-0.1382,-0.1295,0.4266,-0.1562,0.0262
"MAR","MID","no",-0.0181,-0.0062,0.043,-0.0155,0.0549
"MAR","MID","yes",0.0776,0.0129,0.2184,-0.0025,0.0133
"MAR","MID","diff",-0.0957,0.0192,0.1755,0.013,-0.0416
"MAR","TAIL","no",-0.0138,0.0134,-0.0411,0.0229,-0.0373
